Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,113.03,-70.612,-90,top
C2,4.7u,C_0805_2012Metric,113.03,-75.692,-90,top
C3,47p,C_0805_2012Metric,131.064,-70.826,90,top
C4,47p,C_0805_2012Metric,131.064,-75.692,-90,top
C5,100n,C_0805_2012Metric,127.254,-75.692,90,top
C6,100n,C_0805_2012Metric,127.254,-70.866,-90,top
C7,10u,CP_EIA-3528-21_Kemet-B,128.27,-81.28,0,top
C8,2.2u,C_0805_2012Metric,123.51,-111.76,180,top
C9,10u,CP_EIA-3528-21_Kemet-B,178.054,-84.582,0,top
C10,100n,C_0805_2012Metric,171.704,-84.582,180,top
D1,LED,LED_1206_3216Metric,146.685,-112.395,0,top
D2,LED Blue,LED_0603_1608Metric,122.936,-80.772,0,top
D3,LED Red,LED_0603_1608Metric,116.586,-80.772,0,top
R1,1k,R_1206_3216Metric,131.9442,-96.774,-90,top
R2,2.2k,R_1206_3216Metric,128.6466,-96.774,-90,top
R3,2.2k,R_1206_3216Metric,125.349,-96.774,-90,top
R4,120,R_1206_3216Metric,158.75,-82.804,0,top
R5,20k,R_1206_3216Metric,150.749,-79.4702,180,top
R6,20k,R_1206_3216Metric,158.75,-79.5655,180,top
R7,10k,R_1206_3216Metric,135.2417,-96.774,90,top
R8,10k,R_1206_3216Metric,138.5393,-96.774,90,top
R9,10k,R_1206_3216Metric,141.8369,-96.774,90,top
R10,270,R_1206_3216Metric,118.7538,-96.774,-90,top
R11,10k,R_1206_3216Metric,145.1345,-96.774,90,top
R12,270,R_1206_3216Metric,122.0514,-96.774,-90,top
R13,120,R_1206_3216Metric,150.749,-82.677,0,top
R14,270,R_1206_3216Metric,150.749,-76.2635,180,top
R15,270,R_1206_3216Metric,158.75,-76.327,0,top
R16,5k,R_1206_3216Metric,148.4321,-96.774,-90,top
R17,5k,R_1206_3216Metric,157.8698,-96.774,-90,top
R18,5k,R_1206_3216Metric,154.5722,-96.774,-90,top
U1,FT232RL,SSOP-28_5.3x10.2mm_P0.65mm,120.015,-73.025,0,top
U2,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,162.1659,-71.7668,0,top
U4,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,151.5629,-71.6398,0,top
